,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 24_level_1,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
68,63,63,2024-03-08,,MIA,W,107,100,42,89,.472,12,38,.316,11,13,.846,9,45,28,5,8,9,16,,38,82,.463,11,29,.379,13,18,.722,7,43,24,6,5,10,16,2024,OKC
69,64,64,2024-03-10,,MEM,W,124,93,49,93,.527,21,47,.447,5,5,1.000,8,46,36,8,6,10,18,,32,78,.410,11,33,.333,18,27,.667,8,39,21,8,4,16,14,2024,OKC
70,65,65,2024-03-12,,IND,L,111,121,43,99,.434,14,37,.378,11,15,.733,13,50,24,5,4,12,16,,48,89,.539,9,28,.321,16,19,.842,4,43,34,8,10,9,11,2024,OKC
71,66,66,2024-03-14,,DAL,W,126,119,45,86,.523,16,39,.410,20,23,.870,8,34,28,10,7,13,24,,43,84,.512,12,29,.414,21,26,.808,10,40,25,6,2,19,20,2024,OKC
72,67,67,2024-03-16,@,MEM,W,118,112,45,87,.517,12,35,.343,16,21,.762,8,45,25,7,8,11,19,,37,81,.457,18,44,.409,20,26,.769,7,36,34,7,4,14,20,2024,OKC
73,68,68,2024-03-20,,UTA,W,119,107,43,88,.489,10,34,.294,23,29,.793,10,45,29,10,7,10,16,,40,90,.444,10,36,.278,17,18,.944,11,47,20,6,5,15,22,2024,OKC
74,69,69,2024-03-22,@,TOR,W,123,103,48,95,.505,12,32,.375,15,19,.789,13,46,27,17,5,15,20,,40,76,.526,11,30,.367,12,17,.706,5,36,34,12,3,27,18,2024,OKC
75,70,70,2024-03-24,@,MIL,L,93,118,33,89,.371,10,43,.233,17,22,.773,10,37,20,9,1,12,16,,49,92,.533,11,34,.324,9,14,.643,15,57,33,7,5,16,21,2024,OKC
76,71,71,2024-03-26,@,NOP,W,119,112,46,86,.535,15,34,.441,12,14,.857,7,45,28,5,3,12,17,,39,86,.453,14,38,.368,20,23,.870,5,37,26,7,2,9,18,2024,OKC
77,72,72,2024-03-27,,HOU,L,126,132,47,96,.490,14,38,.368,18,24,.750,13,49,26,7,7,19,24,,50,104,.481,15,43,.349,17,23,.739,16,50,25,10,3,16,24,2024,OKC
78,73,73,2024-03-29,,PHO,W,128,103,49,87,.563,16,30,.533,14,14,1.000,7,38,33,7,7,10,13,,39,87,.448,13,41,.317,12,15,.800,13,39,26,6,6,14,15,2024,OKC
79,74,74,2024-03-31,@,NYK,W,113,112,44,82,.537,13,34,.382,12,24,.500,9,43,29,6,8,12,23,,38,92,.413,13,43,.302,23,34,.676,15,46,24,8,3,10,19,2024,OKC
