,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
1209,39,38,38,2024-01-07,,DET,W,131,114,47,80,.588,10,27,.370,27,31,.871,6,38,35,6,10,12,23,42,89,.472,9,24,.375,21,30,.700,13,37,28,6,0,11,20,2024,DEN
1210,40,39,39,2024-01-10,@,UTA,L,111,124,37,81,.457,13,33,.394,24,28,.857,8,34,26,11,4,16,23,46,83,.554,13,33,.394,19,23,.826,7,40,34,12,8,16,19,2024,DEN
1211,41,40,40,2024-01-12,,NOP,W,125,113,50,90,.556,14,33,.424,11,15,.733,10,48,30,5,4,15,18,42,89,.472,13,33,.394,16,22,.727,8,35,30,9,3,8,10,2024,DEN
1214,44,41,41,2024-01-14,,IND,W,117,109,46,71,.648,10,20,.500,15,23,.652,4,40,31,8,3,21,18,43,92,.467,8,29,.276,15,22,.682,14,37,28,11,1,13,21,2024,DEN
1215,45,42,42,2024-01-16,@,PHI,L,121,126,45,89,.506,12,29,.414,19,25,.760,16,46,23,4,3,10,19,43,76,.566,15,31,.484,25,34,.735,5,32,27,6,7,8,21,2024,DEN
1216,46,43,43,2024-01-19,@,BOS,W,102,100,42,81,.519,8,31,.258,10,13,.769,10,47,20,0,3,9,13,38,89,.427,14,44,.318,10,14,.714,12,38,21,5,2,2,17,2024,DEN
1217,47,44,44,2024-01-21,@,WAS,W,113,104,43,88,.489,8,22,.364,19,28,.679,13,50,29,9,11,13,16,39,91,.429,8,27,.296,18,22,.818,12,40,31,6,9,13,23,2024,DEN
1218,48,45,45,2024-01-23,@,IND,W,114,109,44,88,.500,11,33,.333,15,17,.882,11,42,22,5,9,10,17,43,87,.494,5,21,.238,18,21,.857,7,38,24,4,1,10,16,2024,DEN
1219,49,46,46,2024-01-25,@,NYK,L,84,122,34,84,.405,5,26,.192,11,13,.846,13,40,20,2,2,19,20,45,85,.529,15,38,.395,17,20,.850,12,44,26,12,3,8,14,2024,DEN
1220,50,47,47,2024-01-27,,PHI,W,111,105,37,82,.451,13,37,.351,24,38,.632,13,44,25,5,3,7,15,43,81,.531,6,22,.273,13,16,.813,6,39,25,5,6,11,29,2024,DEN
1221,51,48,48,2024-01-29,,MIL,W,113,107,44,91,.484,4,18,.222,21,24,.875,9,47,29,7,4,8,22,36,84,.429,16,40,.400,19,25,.760,7,40,24,3,7,12,22,2024,DEN
1222,52,49,49,2024-01-31,@,OKC,L,100,105,37,93,.398,15,37,.405,11,16,.688,12,47,21,7,9,8,23,37,87,.425,11,26,.423,20,25,.800,15,53,24,2,9,11,14,2024,DEN
1223,53,50,50,2024-02-02,,POR,W,120,108,46,91,.505,12,36,.333,16,17,.941,16,48,34,3,6,11,20,37,80,.463,10,28,.357,24,30,.800,13,37,14,7,4,8,16,2024,DEN
1224,54,51,51,2024-02-04,,POR,W,112,103,42,86,.488,12,28,.429,16,19,.842,14,42,26,8,6,8,11,39,85,.459,11,31,.355,14,15,.933,15,42,29,6,3,13,16,2024,DEN
1225,55,52,52,2024-02-08,@,LAL,W,114,106,47,97,.485,14,32,.438,6,7,.857,14,50,33,4,6,12,17,41,89,.461,8,25,.320,16,22,.727,10,39,27,12,10,7,10,2024,DEN
1226,56,53,53,2024-02-09,@,SAC,L,106,135,38,82,.463,10,29,.345,20,28,.714,9,35,26,9,5,20,16,51,87,.586,17,34,.500,16,18,.889,6,42,32,11,1,16,22,2024,DEN
1227,57,54,54,2024-02-12,@,MIL,L,95,112,36,94,.383,11,40,.275,12,17,.706,12,48,24,7,2,13,14,42,84,.500,16,34,.471,12,18,.667,9,51,30,8,6,12,19,2024,DEN
1228,58,55,55,2024-02-14,,SAC,L,98,102,35,89,.393,9,26,.346,19,22,.864,12,45,27,6,5,12,18,39,89,.438,9,33,.273,15,19,.789,10,48,21,7,5,14,18,2024,DEN
1229,59,56,56,2024-02-22,,WAS,W,130,110,56,101,.554,7,31,.226,11,15,.733,13,60,41,11,11,16,16,40,104,.385,17,38,.447,13,23,.565,14,40,30,14,1,14,15,2024,DEN
1230,60,57,57,2024-02-23,@,POR,W,127,112,50,85,.588,13,33,.394,14,22,.636,11,45,38,8,6,12,17,46,101,.455,8,25,.320,12,18,.667,19,45,25,11,2,10,17,2024,DEN
1231,61,58,58,2024-02-25,@,GSW,W,119,103,43,88,.489,11,32,.344,22,26,.846,12,45,29,10,5,10,20,35,81,.432,11,34,.324,22,29,.759,11,42,27,5,3,17,18,2024,DEN
1232,62,59,59,2024-02-28,,SAC,W,117,96,46,86,.535,15,35,.429,10,11,.909,5,43,35,10,6,15,17,38,95,.400,12,35,.343,8,13,.615,15,43,28,8,5,14,14,2024,DEN
1233,63,60,60,2024-02-29,,MIA,W,103,97,36,84,.429,12,34,.353,19,21,.905,9,41,22,10,8,15,23,35,83,.422,7,26,.269,20,24,.833,9,45,21,10,1,14,16,2024,DEN
1236,66,61,61,2024-03-02,@,LAL,W,124,114,54,92,.587,11,26,.423,5,7,.714,11,47,34,5,7,10,8,47,89,.528,12,29,.414,8,11,.727,6,31,33,5,4,7,9,2024,DEN
1237,67,62,62,2024-03-05,,PHO,L,107,117,41,96,.427,15,40,.375,10,14,.714,10,51,25,6,6,14,15,42,96,.438,15,34,.441,18,22,.818,11,52,32,9,7,9,19,2024,DEN
1238,68,63,63,2024-03-07,,BOS,W,115,109,45,90,.500,4,21,.190,21,22,.955,8,45,27,10,4,7,19,41,91,.451,11,38,.289,16,25,.640,13,47,24,6,3,12,18,2024,DEN
1239,69,64,64,2024-03-09,,UTA,W,142,121,55,83,.663,19,32,.594,13,16,.813,5,32,40,8,10,13,22,47,94,.500,8,26,.308,19,25,.760,14,36,22,7,2,15,15,2024,DEN
1240,70,65,65,2024-03-11,,TOR,W,125,119,52,95,.547,10,29,.345,11,18,.611,11,42,36,8,8,9,14,47,93,.505,11,30,.367,14,17,.824,11,42,30,6,4,11,16,2024,DEN
1241,71,66,66,2024-03-13,@,MIA,W,100,88,40,82,.488,11,33,.333,9,13,.692,7,41,24,4,2,9,13,34,80,.425,5,21,.238,15,18,.833,8,42,18,5,2,8,13,2024,DEN
1242,72,67,67,2024-03-15,@,SAS,W,117,106,49,89,.551,10,25,.400,9,12,.750,7,40,37,13,5,12,20,37,81,.457,11,29,.379,21,27,.778,12,44,23,6,4,16,13,2024,DEN
1243,73,68,68,2024-03-17,@,DAL,L,105,107,37,84,.440,12,28,.429,19,22,.864,6,37,26,7,6,7,16,42,100,.420,9,35,.257,14,21,.667,22,60,22,5,5,11,21,2024,DEN
1244,74,69,69,2024-03-19,@,MIN,W,115,112,42,81,.519,14,27,.519,17,22,.773,11,49,26,5,1,17,19,42,88,.477,12,35,.343,16,23,.696,8,37,25,10,7,7,16,2024,DEN
1245,75,70,70,2024-03-21,,NYK,W,113,100,45,84,.536,6,20,.300,17,20,.850,9,42,31,5,4,9,14,38,79,.481,11,31,.355,13,17,.765,4,31,28,6,6,9,18,2024,DEN
1246,76,71,71,2024-03-23,@,POR,W,114,111,41,91,.451,8,24,.333,24,33,.727,19,49,25,8,9,13,17,43,93,.462,10,28,.357,15,17,.882,14,45,27,8,8,15,24,2024,DEN
1247,77,72,72,2024-03-25,,MEM,W,128,103,48,90,.533,15,32,.469,17,18,.944,15,50,38,10,7,15,23,37,94,.394,11,44,.250,18,27,.667,17,40,25,9,9,14,15,2024,DEN
1248,78,73,73,2024-03-27,,PHO,L,97,104,38,88,.432,10,40,.250,11,12,.917,9,38,24,9,4,8,13,39,83,.470,16,33,.485,10,11,.909,12,51,29,3,7,16,13,2024,DEN
1249,79,74,74,2024-03-29,,MIN,L,98,111,35,88,.398,8,28,.286,20,27,.741,13,46,29,6,1,12,24,38,74,.514,9,28,.321,26,37,.703,6,39,28,6,7,7,20,2024,DEN
1250,80,75,75,2024-03-31,,CLE,W,130,101,50,87,.575,21,33,.636,9,13,.692,11,51,36,7,4,16,19,38,82,.463,8,25,.320,17,21,.810,6,28,26,10,4,15,12,2024,DEN
1251,81,76,76,2024-04-02,,SAS,W,110,105,43,98,.439,11,34,.324,13,16,.813,11,52,28,5,10,8,15,42,105,.400,13,44,.295,8,16,.500,15,59,33,4,12,7,19,2024,DEN
1252,82,77,77,2024-04-04,@,LAC,L,100,102,36,83,.434,11,35,.314,17,25,.680,6,51,27,3,4,13,19,34,90,.378,7,33,.212,27,32,.844,7,48,22,10,2,6,20,2024,DEN
1253,83,78,78,2024-04-06,,ATL,W,142,110,53,88,.602,23,41,.561,13,16,.813,6,47,38,9,7,15,21,37,87,.425,12,37,.324,24,29,.828,11,38,30,8,2,16,18,2024,DEN
1254,84,79,79,2024-04-09,@,UTA,W,111,95,46,94,.489,14,37,.378,5,11,.455,13,43,30,12,12,9,10,36,91,.396,10,31,.323,13,13,1.000,11,44,19,5,2,14,9,2024,DEN
1255,85,80,80,2024-04-10,,MIN,W,116,107,46,83,.554,11,25,.440,13,23,.565,11,44,31,7,8,13,21,41,82,.500,13,30,.433,12,21,.571,9,35,23,9,5,9,21,2024,DEN
1258,88,81,81,2024-04-12,@,SAS,L,120,121,49,97,.505,13,36,.361,9,10,.900,6,33,31,9,4,7,19,45,85,.529,15,33,.455,16,23,.696,11,49,31,2,4,18,13,2024,DEN
1259,89,82,82,2024-04-14,@,MEM,W,126,111,46,89,.517,12,36,.333,22,26,.846,16,54,32,9,5,17,17,45,100,.450,8,33,.242,13,18,.722,16,43,22,9,2,13,18,2024,DEN
1260,0,1,1,2023-10-26,@,MIL,L,117,118,41,80,.513,16,35,.457,19,28,.679,4,39,25,8,4,15,28,41,81,.506,11,30,.367,25,36,.694,8,43,20,9,4,14,23,2024,PHI
1261,1,2,2,2023-10-28,@,TOR,W,114,107,43,86,.500,10,28,.357,18,21,.857,9,42,25,8,7,9,18,38,87,.437,17,32,.531,14,19,.737,13,41,28,5,5,13,19,2024,PHI
1262,2,3,3,2023-10-29,,POR,W,126,98,40,82,.488,11,28,.393,35,40,.875,11,51,28,10,17,15,20,36,94,.383,7,31,.226,19,22,.864,14,42,19,10,9,15,26,2024,PHI
1263,3,4,4,2023-11-02,,TOR,W,114,99,42,92,.457,9,25,.360,21,25,.840,15,46,21,12,3,14,19,38,79,.481,10,28,.357,13,19,.684,9,41,30,4,3,19,20,2024,PHI
1264,4,5,5,2023-11-04,,PHO,W,112,100,43,90,.478,11,30,.367,15,18,.833,15,51,24,5,6,17,24,32,89,.360,9,35,.257,27,33,.818,15,42,22,11,12,10,11,2024,PHI
1265,5,6,6,2023-11-06,,WAS,W,146,128,51,91,.560,12,31,.387,32,36,.889,10,45,37,12,7,15,15,49,96,.510,14,34,.412,16,20,.800,10,38,31,6,10,19,26,2024,PHI
1266,6,7,7,2023-11-08,,BOS,W,106,103,42,95,.442,9,34,.265,13,15,.867,12,56,20,7,7,12,16,36,91,.396,15,47,.319,16,19,.842,9,43,28,8,6,12,13,2024,PHI
1267,7,8,8,2023-11-10,@,DET,W,114,106,35,83,.422,9,28,.321,35,41,.854,11,46,23,13,5,8,23,40,86,.465,8,28,.286,18,22,.818,11,48,28,3,5,16,26,2024,PHI
1268,8,9,9,2023-11-12,,IND,W,137,126,53,105,.505,14,33,.424,17,20,.850,23,54,28,5,7,11,15,47,90,.522,16,39,.410,16,19,.842,8,32,31,8,9,10,14,2024,PHI
1269,9,10,10,2023-11-14,,IND,L,126,132,43,86,.500,6,22,.273,34,35,.971,5,38,22,5,3,16,26,48,93,.516,13,37,.351,23,33,.697,10,41,32,7,5,11,28,2024,PHI
1270,10,11,11,2023-11-15,,BOS,L,107,117,39,85,.459,11,30,.367,18,22,.818,10,41,18,5,1,9,14,42,88,.477,18,50,.360,15,19,.789,12,45,23,7,8,9,15,2024,PHI
1271,11,12,12,2023-11-17,@,ATL,W,126,116,43,88,.489,13,30,.433,27,28,.964,13,43,32,9,4,15,20,40,89,.449,12,33,.364,24,30,.800,14,39,24,8,4,13,20,2024,PHI
1272,12,13,13,2023-11-19,@,BRK,W,121,99,44,94,.468,16,35,.457,17,18,.944,10,44,32,8,4,4,18,38,81,.469,11,28,.393,12,16,.750,9,45,24,2,8,15,14,2024,PHI
1273,13,14,14,2023-11-21,,CLE,L,119,122,40,96,.417,11,35,.314,28,34,.824,14,44,19,12,8,14,25,46,94,.489,9,25,.360,21,25,.840,14,56,33,9,4,15,21,2024,PHI
1274,14,15,15,2023-11-22,@,MIN,L,99,112,34,87,.391,7,32,.219,24,30,.800,16,48,21,9,12,14,23,43,89,.483,10,26,.385,16,24,.667,10,48,28,10,8,12,21,2024,PHI
1275,15,16,16,2023-11-25,@,OKC,W,127,123,38,83,.458,14,41,.341,37,45,.822,17,49,30,2,9,12,26,43,98,.439,16,43,.372,21,26,.808,13,38,29,3,3,4,27,2024,PHI
1276,16,17,17,2023-11-27,,LAL,W,138,94,47,93,.505,22,46,.478,22,26,.846,15,48,33,11,2,5,17,39,83,.470,7,28,.250,9,13,.692,6,32,23,3,4,17,18,2024,PHI
1277,17,18,18,2023-11-29,@,NOP,L,114,124,42,81,.519,14,34,.412,16,18,.889,8,30,28,8,7,21,26,42,78,.538,10,30,.333,30,34,.882,13,40,33,11,4,20,22,2024,PHI
1278,18,19,19,2023-12-01,@,BOS,L,119,125,43,94,.457,16,35,.457,17,23,.739,15,42,16,16,5,16,24,39,77,.506,16,33,.485,31,36,.861,10,46,25,10,8,20,18,2024,PHI
1279,19,20,20,2023-12-06,@,WAS,W,131,126,47,92,.511,8,27,.296,29,34,.853,11,43,29,7,2,11,14,52,92,.565,14,35,.400,8,8,1.000,2,32,39,8,6,11,22,2024,PHI
1282,22,21,21,2023-12-08,,ATL,W,125,114,42,87,.483,11,30,.367,30,37,.811,14,48,24,6,8,10,14,41,104,.394,13,39,.333,19,21,.905,23,55,20,3,4,13,23,2024,PHI
1283,23,22,22,2023-12-11,,WAS,W,146,101,52,95,.547,20,46,.435,22,25,.880,9,47,37,14,6,13,27,36,85,.424,9,31,.290,20,31,.645,13,44,21,5,2,22,19,2024,PHI
1284,24,23,23,2023-12-13,@,DET,W,129,111,45,87,.517,11,30,.367,28,34,.824,10,53,28,6,4,10,20,39,88,.443,10,33,.303,23,30,.767,6,35,24,6,3,9,22,2024,PHI
1285,25,24,24,2023-12-15,,DET,W,124,92,41,98,.418,14,37,.378,28,31,.903,16,54,24,17,8,11,23,35,81,.432,4,21,.190,18,23,.783,7,42,19,3,7,21,25,2024,PHI
1286,26,25,25,2023-12-16,@,CHO,W,135,82,53,88,.602,14,31,.452,15,17,.882,5,45,30,10,6,10,17,33,91,.363,7,35,.200,9,11,.818,8,36,15,3,4,11,14,2024,PHI
1287,27,26,26,2023-12-18,,CHI,L,104,108,38,88,.432,11,32,.344,17,19,.895,9,44,23,8,8,12,17,42,89,.472,12,29,.414,12,15,.800,11,45,24,7,9,10,15,2024,PHI
1288,28,27,27,2023-12-20,,MIN,W,127,113,45,84,.536,8,22,.364,29,32,.906,7,36,20,9,3,12,25,42,82,.512,9,25,.360,20,24,.833,9,39,22,4,2,18,22,2024,PHI
1289,29,28,28,2023-12-22,,TOR,W,121,111,44,83,.530,14,31,.452,19,21,.905,3,38,34,6,6,13,21,39,87,.448,9,33,.273,24,28,.857,11,46,30,9,6,12,16,2024,PHI
1290,30,29,29,2023-12-25,@,MIA,L,113,119,40,94,.426,17,45,.378,16,25,.640,5,36,23,11,4,7,22,40,84,.476,12,32,.375,27,35,.771,13,56,27,5,7,14,17,2024,PHI
1291,31,30,30,2023-12-27,@,ORL,W,112,92,45,96,.469,10,28,.357,12,17,.706,12,48,14,10,8,10,19,31,79,.392,9,33,.273,21,24,.875,9,43,17,5,11,16,18,2024,PHI
1292,32,31,31,2023-12-29,@,HOU,W,131,127,45,86,.523,12,33,.364,29,33,.879,11,30,22,10,5,10,21,49,91,.538,14,30,.467,15,21,.714,14,42,30,8,6,16,24,2024,PHI
1293,33,32,32,2023-12-30,@,CHI,L,92,105,36,92,.391,9,38,.237,11,15,.733,12,36,24,12,5,7,22,40,79,.506,7,25,.280,18,30,.600,12,53,21,5,5,16,15,2024,PHI
1294,34,33,33,2024-01-02,,CHI,W,110,97,38,80,.475,12,30,.400,22,30,.733,6,43,28,9,6,17,22,37,96,.385,7,37,.189,16,23,.696,19,51,17,9,7,18,21,2024,PHI
1295,35,34,34,2024-01-05,,NYK,L,92,128,33,81,.407,6,23,.261,20,27,.741,8,38,22,8,9,14,18,43,89,.483,18,41,.439,24,25,.960,10,49,27,7,7,11,22,2024,PHI
1296,36,35,35,2024-01-06,,UTA,L,109,120,42,104,.404,7,38,.184,18,23,.783,15,34,30,12,6,6,20,46,80,.575,8,30,.267,20,24,.833,9,48,30,4,4,23,18,2024,PHI
1297,37,36,36,2024-01-10,@,ATL,L,132,139,46,102,.451,12,34,.353,28,33,.848,13,51,26,8,9,11,28,48,102,.471,12,34,.353,31,42,.738,16,55,32,6,8,12,21,2024,PHI
1298,38,37,37,2024-01-12,,SAC,W,112,93,40,93,.430,15,35,.429,17,18,.944,14,46,23,11,9,13,19,32,95,.337,8,38,.211,21,26,.808,23,54,20,6,4,16,18,2024,PHI
1299,39,38,38,2024-01-15,,HOU,W,124,115,40,83,.482,15,31,.484,29,34,.853,8,41,25,8,4,10,24,44,88,.500,8,27,.296,19,32,.594,16,46,21,7,9,13,23,2024,PHI
1300,40,39,39,2024-01-16,,DEN,W,126,121,43,76,.566,15,31,.484,25,34,.735,5,32,27,6,7,8,21,45,89,.506,12,29,.414,19,25,.760,16,46,23,4,3,10,19,2024,PHI
1301,41,40,40,2024-01-19,@,ORL,W,124,109,42,87,.483,13,30,.433,27,29,.931,16,42,23,11,5,7,23,37,78,.474,10,23,.435,25,27,.926,11,36,24,3,5,16,23,2024,PHI
1304,44,41,41,2024-01-20,@,CHO,W,97,89,36,85,.424,5,25,.200,20,24,.833,6,46,21,7,6,10,12,35,85,.412,9,37,.243,10,14,.714,7,47,23,2,7,16,20,2024,PHI
1305,45,42,42,2024-01-22,,SAS,W,133,123,48,97,.495,5,20,.250,32,40,.800,19,48,28,5,3,4,20,43,93,.462,13,41,.317,24,27,.889,13,43,29,3,3,8,22,2024,PHI
1306,46,43,43,2024-01-25,@,IND,L,122,134,42,87,.483,7,29,.241,31,43,.721,6,31,24,13,6,12,20,53,93,.570,12,28,.429,16,21,.762,12,55,35,6,8,21,33,2024,PHI
1307,47,44,44,2024-01-27,@,DEN,L,105,111,43,81,.531,6,22,.273,13,16,.813,6,39,25,5,6,11,29,37,82,.451,13,37,.351,24,38,.632,13,44,25,5,3,7,15,2024,PHI
1308,48,45,45,2024-01-29,@,POR,L,104,130,37,83,.446,5,29,.172,25,28,.893,12,34,17,6,5,14,25,46,84,.548,12,28,.429,26,29,.897,11,39,29,7,5,13,24,2024,PHI
1309,49,46,46,2024-01-30,@,GSW,L,107,119,39,85,.459,13,30,.433,16,21,.762,13,39,11,14,2,16,24,44,79,.557,14,32,.438,17,19,.895,8,42,32,6,6,16,20,2024,PHI
1310,50,47,47,2024-02-01,@,UTA,W,127,124,47,94,.500,14,32,.438,19,21,.905,10,40,27,6,11,4,22,45,87,.517,12,36,.333,22,25,.880,10,43,36,3,9,9,15,2024,PHI
1311,51,48,48,2024-02-03,,BRK,L,121,136,44,96,.458,12,29,.414,21,27,.778,11,44,26,7,1,5,17,49,95,.516,20,51,.392,18,23,.783,13,53,35,3,5,10,20,2024,PHI
1312,52,49,49,2024-02-05,,DAL,L,102,118,40,93,.430,8,29,.276,14,20,.700,16,51,20,8,5,11,21,42,87,.483,17,43,.395,17,23,.739,8,44,28,6,4,9,16,2024,PHI
1313,53,50,50,2024-02-07,,GSW,L,104,127,41,98,.418,8,32,.250,14,14,1.000,11,40,21,7,8,14,16,47,94,.500,16,38,.421,17,22,.773,12,52,30,7,8,12,21,2024,PHI
1314,54,51,51,2024-02-09,,ATL,L,121,127,42,98,.429,15,45,.333,22,29,.759,18,49,24,7,6,9,24,42,81,.519,16,36,.444,27,33,.818,9,40,31,4,9,13,19,2024,PHI
1315,55,52,52,2024-02-10,@,WAS,W,119,113,48,100,.480,8,27,.296,15,23,.652,13,48,28,8,4,11,18,42,86,.488,13,35,.371,16,21,.762,7,39,28,7,8,15,23,2024,PHI
1316,56,53,53,2024-02-12,@,CLE,W,123,121,48,88,.545,11,26,.423,16,19,.842,11,42,25,5,4,10,22,44,92,.478,13,37,.351,20,25,.800,15,43,33,6,8,10,17,2024,PHI
1317,57,54,54,2024-02-14,,MIA,L,104,109,41,86,.477,10,35,.286,12,16,.750,6,39,29,3,1,14,20,42,88,.477,11,35,.314,14,15,.933,10,43,27,10,1,13,17,2024,PHI
1318,58,55,55,2024-02-22,,NYK,L,96,110,37,84,.440,10,29,.345,12,14,.857,7,38,23,7,3,18,23,38,79,.481,15,34,.441,19,27,.704,12,45,24,11,6,15,13,2024,PHI
1319,59,56,56,2024-02-23,,CLE,W,104,97,40,90,.444,12,29,.414,12,15,.800,9,51,20,6,7,9,25,34,80,.425,8,27,.296,21,31,.677,5,43,24,5,8,10,15,2024,PHI
1320,60,57,57,2024-02-25,,MIL,L,98,119,36,97,.371,16,46,.348,10,11,.909,13,41,24,12,5,10,18,43,79,.544,18,37,.486,15,18,.833,7,47,32,6,10,18,13,2024,PHI
1321,61,58,58,2024-02-27,@,BOS,L,99,117,37,94,.394,14,42,.333,11,12,.917,8,28,20,6,5,9,23,39,74,.527,5,22,.227,34,37,.919,9,56,21,7,9,14,16,2024,PHI
1322,62,59,59,2024-03-01,,CHO,W,121,114,46,96,.479,19,44,.432,10,11,.909,15,48,38,5,7,7,17,43,84,.512,14,33,.424,14,17,.824,7,32,24,5,6,5,13,2024,PHI
1323,63,60,60,2024-03-03,@,DAL,W,120,116,40,88,.455,11,37,.297,29,31,.935,13,42,26,10,5,8,19,40,86,.465,16,41,.390,20,23,.870,12,45,20,6,2,17,18,2024,PHI
1326,66,61,61,2024-03-05,@,BRK,L,107,112,40,82,.488,12,28,.429,15,19,.789,8,38,25,6,2,12,24,41,84,.488,12,30,.400,18,24,.750,10,44,25,4,7,12,16,2024,PHI
1327,67,62,62,2024-03-06,,MEM,L,109,115,39,102,.382,13,35,.371,18,21,.857,17,47,25,11,9,11,21,41,91,.451,13,37,.351,20,23,.870,15,54,21,3,15,15,14,2024,PHI
1328,68,63,63,2024-03-08,,NOP,L,95,103,35,88,.398,9,37,.243,16,20,.800,13,42,21,8,7,10,19,35,79,.443,11,31,.355,22,23,.957,9,48,22,7,10,12,18,2024,PHI
1329,69,64,64,2024-03-10,@,NYK,W,79,73,31,80,.388,9,30,.300,8,14,.571,14,47,20,9,5,13,18,26,80,.325,9,40,.225,12,16,.750,16,50,19,9,5,19,14,2024,PHI
1330,70,65,65,2024-03-12,@,NYK,L,79,106,30,80,.375,8,33,.242,11,16,.688,7,31,17,7,4,8,16,40,79,.506,14,40,.350,12,15,.800,9,51,32,4,4,12,15,2024,PHI
1331,71,66,66,2024-03-14,@,MIL,L,105,114,39,79,.494,17,35,.486,10,14,.714,6,30,20,6,4,11,18,39,72,.542,16,36,.444,20,24,.833,6,37,29,6,4,14,14,2024,PHI
1332,72,67,67,2024-03-16,,CHO,W,109,98,36,81,.444,13,41,.317,24,25,.960,10,41,25,9,4,15,23,37,82,.451,10,31,.323,14,18,.778,12,40,21,11,4,16,21,2024,PHI
1333,73,68,68,2024-03-18,,MIA,W,98,91,37,85,.435,13,36,.361,11,12,.917,7,46,23,7,12,12,16,35,89,.393,12,33,.364,9,14,.643,11,49,23,8,3,15,13,2024,PHI
1334,74,69,69,2024-03-20,@,PHO,L,102,115,41,95,.432,13,37,.351,7,18,.389,13,40,33,12,7,9,12,45,90,.500,19,39,.487,6,8,.750,14,55,34,7,12,23,18,2024,PHI
1335,75,70,70,2024-03-22,@,LAL,L,94,101,33,96,.344,8,37,.216,20,24,.833,13,42,20,13,7,8,23,32,73,.438,12,31,.387,25,33,.758,11,54,22,1,7,21,16,2024,PHI
1336,76,71,71,2024-03-24,@,LAC,W,121,107,48,90,.533,18,37,.486,7,9,.778,12,37,32,7,10,8,18,40,83,.482,10,28,.357,17,18,.944,10,37,27,2,9,13,11,2024,PHI
1337,77,72,72,2024-03-25,@,SAC,L,96,108,34,82,.415,11,34,.324,17,20,.850,15,47,18,2,4,15,25,38,86,.442,10,38,.263,22,28,.786,11,40,25,6,6,7,18,2024,PHI
1338,78,73,73,2024-03-27,,LAC,L,107,108,39,82,.476,13,33,.394,16,19,.842,10,51,17,3,11,12,18,40,90,.444,14,36,.389,14,20,.700,11,43,28,8,5,6,16,2024,PHI
1339,79,74,74,2024-03-29,@,CLE,L,114,117,42,94,.447,16,40,.400,14,17,.824,16,42,28,6,7,9,20,45,82,.549,16,37,.432,11,13,.846,5,37,34,4,3,13,17,2024,PHI
1340,80,75,75,2024-03-31,@,TOR,W,135,120,49,83,.590,24,43,.558,13,16,.813,9,39,28,6,10,15,17,47,90,.522,11,30,.367,15,20,.750,7,30,31,10,2,12,14,2024,PHI
1341,81,76,76,2024-04-02,,OKC,W,109,105,36,78,.462,14,30,.467,23,25,.920,9,42,27,8,4,16,20,37,87,.425,13,39,.333,18,22,.818,12,43,30,10,9,14,18,2024,PHI
1342,82,77,77,2024-04-04,@,MIA,W,109,105,43,92,.467,14,40,.350,9,11,.818,8,41,28,11,7,11,15,39,94,.415,13,43,.302,14,16,.875,16,51,24,8,4,15,10,2024,PHI
1343,83,78,78,2024-04-06,@,MEM,W,116,96,41,79,.519,16,39,.410,18,23,.783,9,41,27,12,9,19,22,36,87,.414,9,26,.346,15,21,.714,15,44,21,9,2,18,18,2024,PHI
1344,84,79,79,2024-04-07,@,SAS,W,133,126,52,114,.456,12,39,.308,17,19,.895,8,46,31,15,3,10,20,44,98,.449,16,44,.364,22,26,.846,14,59,31,5,11,25,17,2024,PHI
1345,85,80,80,2024-04-09,,DET,W,120,102,44,98,.449,13,37,.351,19,23,.826,16,51,29,11,8,7,18,34,84,.405,14,30,.467,20,24,.833,9,44,20,3,5,16,17,2024,PHI
1348,88,81,81,2024-04-12,,ORL,W,125,113,42,88,.477,18,37,.486,23,28,.821,8,44,22,6,6,11,20,43,95,.453,8,27,.296,19,25,.760,10,45,25,7,7,11,21,2024,PHI
1349,89,82,82,2024-04-14,,BRK,W,107,86,41,96,.427,14,44,.318,11,15,.733,13,57,30,8,6,12,16,32,83,.386,9,34,.265,13,17,.765,4,42,19,8,6,12,14,2024,PHI
1350,0,1,1,2023-10-25,@,ORL,L,86,116,32,79,.405,12,34,.353,10,16,.625,7,31,19,6,3,18,24,42,87,.483,9,34,.265,23,26,.885,17,57,19,8,6,14,20,2024,HOU
1351,1,2,2,2023-10-27,@,SAS,L,122,126,52,100,.520,8,32,.250,10,20,.500,11,43,30,7,2,18,26,46,94,.489,13,42,.310,21,28,.750,12,43,32,11,4,18,17,2024,HOU
1352,2,3,3,2023-10-29,,GSW,L,95,106,34,90,.378,9,33,.273,18,19,.947,10,42,22,7,4,7,20,35,81,.432,18,45,.400,18,23,.783,8,49,27,6,6,14,18,2024,HOU
1353,3,4,4,2023-11-01,,CHO,W,128,119,44,84,.524,21,37,.568,19,23,.826,7,38,35,10,2,17,22,45,90,.500,11,27,.407,18,25,.720,15,44,21,9,8,16,19,2024,HOU
1354,4,5,5,2023-11-04,,SAC,W,107,89,40,87,.460,13,36,.361,14,20,.700,10,53,28,4,3,11,18,32,84,.381,11,41,.268,14,19,.737,8,43,20,5,6,11,19,2024,HOU
