,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
189,9,10,10,2023-11-12,@,PHO,W,111,99,40,82,.488,10,27,.370,21,25,.840,6,33,23,9,8,7,21,32,83,.386,9,29,.310,26,31,.839,16,51,20,4,7,17,19,2024,OKC
190,10,11,11,2023-11-14,,SAS,W,123,87,46,89,.517,15,39,.385,16,20,.800,4,40,34,19,6,15,17,36,93,.387,9,30,.300,6,9,.667,13,43,24,7,6,24,13,2024,OKC
191,11,12,12,2023-11-16,@,GSW,W,128,109,44,87,.506,19,32,.594,21,23,.913,7,42,31,10,3,12,20,40,98,.408,14,41,.341,15,19,.789,20,49,27,5,4,16,19,2024,OKC
192,12,13,13,2023-11-18,@,GSW,W,130,123,52,100,.520,8,23,.348,18,20,.900,9,47,26,8,7,10,16,44,97,.454,18,46,.391,17,21,.810,14,49,33,6,4,16,18,2024,OKC
193,13,14,14,2023-11-19,@,POR,W,134,91,49,81,.605,22,36,.611,14,14,1.000,10,43,28,8,3,17,18,34,85,.400,9,34,.265,14,21,.667,13,31,21,10,2,17,15,2024,OKC
194,14,15,15,2023-11-22,,CHI,W,116,102,37,75,.493,11,29,.379,31,38,.816,11,45,24,4,12,12,17,34,88,.386,17,44,.386,17,17,1.000,11,38,22,7,2,10,26,2024,OKC
195,15,16,16,2023-11-25,,PHI,L,123,127,43,98,.439,16,43,.372,21,26,.808,13,38,29,3,3,4,27,38,83,.458,14,41,.341,37,45,.822,17,49,30,2,9,12,26,2024,OKC
196,16,17,17,2023-11-28,@,MIN,L,103,106,37,90,.411,11,30,.367,18,23,.783,9,36,22,8,4,8,23,33,78,.423,14,33,.424,26,32,.813,10,51,18,3,9,19,17,2024,OKC
197,17,18,18,2023-11-30,,LAL,W,133,110,50,94,.532,14,42,.333,19,22,.864,8,48,29,9,6,7,24,36,81,.444,11,33,.333,27,32,.844,7,41,24,6,2,13,20,2024,OKC
198,18,19,19,2023-12-02,@,DAL,W,126,120,44,100,.440,20,44,.455,18,22,.818,16,50,24,8,5,12,24,39,87,.448,19,52,.365,23,35,.657,15,47,26,5,12,15,21,2024,OKC
199,19,20,20,2023-12-06,@,HOU,L,101,110,37,87,.425,8,29,.276,19,24,.792,4,30,22,14,10,8,21,40,83,.482,15,33,.455,15,22,.682,10,53,28,6,5,19,16,2024,OKC
202,22,21,21,2023-12-08,,GSW,W,138,136,51,98,.520,5,29,.172,31,36,.861,11,39,15,17,7,9,22,49,104,.471,19,48,.396,19,23,.826,24,60,29,3,2,28,28,2024,OKC
203,23,22,22,2023-12-11,,UTA,W,134,120,50,96,.521,18,38,.474,16,17,.941,7,39,35,9,7,12,17,44,92,.478,12,38,.316,20,21,.952,9,41,32,9,9,15,21,2024,OKC
204,24,23,23,2023-12-14,@,SAC,L,123,128,44,102,.431,11,36,.306,24,27,.889,16,44,26,8,7,13,25,47,95,.495,18,45,.400,16,21,.762,11,47,32,6,4,17,22,2024,OKC
